 Project Name -  TIO-6138RKO
 Date/Time    -  Fri_Jun_25_08_31_59_2021

Elapsed		  GMT			Altitude       Hor Range      Velocity	      PP Lat	     PP Long	      Best   M    Q   T
 Time	    yy  dd  hhmmsssss		 (Ft)		  (Ft)	       (Ft/S)	      (Deg)	      (Deg)
-0.5	  2021:176:12:31:59.6264		-6.9		142.4		3.4	     37.839311      -75.482505     2    1    1   1
-0.4	  2021:176:12:31:59.7263		-6.7		141.9		3.7	     37.839312      -75.482506     2    1    1   1
-0.3	  2021:176:12:31:59.8263		-6.5		141.5		3.9	     37.839314      -75.482507     2    1    1   1
-0.2	  2021:176:12:31:59.9263		-6.3		141.3		3.4	     37.839313      -75.482505     2    1    1   1
-0.1	  2021:176:12:32:00.0263		-6.1		141.8		2.4	     37.839311      -75.482501     2    1    1   1
0.0	  2021:176:12:32:00.1262		-6.0		143.1		1.6	     37.839309      -75.482497     2    1    1   1
0.0	  2021:176:12:32:00.2262		-6.1		144.0		1.0	     37.839307      -75.482494     2    1    1   1
0.1	  2021:176:12:32:00.3262		-5.9		145.0		1.0	     37.839304      -75.482488     2    1    1   1
0.2	  2021:176:12:32:00.4262		-5.9		146.6		1.8	     37.839303      -75.482486     2    1    1   1
0.3	  2021:176:12:32:00.5262		-4.1		147.3		5.4	     37.839303      -75.482488     2    1    1   1
0.4	  2021:176:12:32:00.6262		2.5		146.8		13.2	     37.839305      -75.482491     2    1    1   1
0.5	  2021:176:12:32:00.7261		15.7		145.7		26.0	     37.839307      -75.482494     2    1    1   1
0.6	  2021:176:12:32:00.8261		37.2		144.9		40.5	     37.839309      -75.482496     2    1    1   1
0.7	  2021:176:12:32:00.9261		62.5		144.3		54.1	     37.839312      -75.482498     2    1    1   1
0.8	  2021:176:12:32:01.0261		87.1		144.0		66.6	     37.839316      -75.482498     2    1    1   1
0.9	  2021:176:12:32:01.1261		111.1		143.9		80.6	     37.839317      -75.482496     2    1    1   1
1.0	  2021:176:12:32:01.2261		138.3		144.6		98.2	     37.839318      -75.482491     2    1    1   1
1.1	  2021:176:12:32:01.3260		172.5		146.0		119.1	     37.839317      -75.482485     2    1    1   1
1.2	  2021:176:12:32:01.4260		213.0		147.8		141.4	     37.839316      -75.482476     2    1    1   1
1.3	  2021:176:12:32:01.5260		257.4		150.2		165.6	     37.839311      -75.482462     2    1    1   1
1.4	  2021:176:12:32:01.6260		306.3		154.4		192.4	     37.839304      -75.482444     2    1    1   1
1.5	  2021:176:12:32:01.7260		361.1		159.3		221.6	     37.839300      -75.482430     2    1    1   1
1.6	  2021:176:12:32:01.8260		421.7		163.5		253.1	     37.839293      -75.482410     2    1    1   1
1.7	  2021:176:12:32:01.9259		488.1		169.2		286.8	     37.839286      -75.482389     2    1    1   1
1.8	  2021:176:12:32:02.0259		560.3		175.2		322.9	     37.839277      -75.482365     2    1    1   1
1.9	  2021:176:12:32:02.1259		638.6		182.3		360.8	     37.839270      -75.482340     2    1    1   1
2.0	  2021:176:12:32:02.2259		722.6		189.7		401.2	     37.839260      -75.482311     2    1    1   1
2.1	  2021:176:12:32:02.3259		813.1		198.4		444.1	     37.839253      -75.482284     2    1    1   1
