 H   ELECTRON DENSITY    TEMPERATURES      ION PERCENTAGES[%]*10     1E16m-2
    km    Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
   80.0 0.2317E+03 0.001   207   207   207   0   0   0   0   2 998  -1  -1.0  -1
   90.0 0.1143E+04 0.003   190   190   190   0   0   0   0  10 990  -1  -1.0  -1
  100.0 0.2676E+04 0.008   186   186   186   0   0   0   0  34 966  -1  -1.0  -1
  110.0 0.2750E+04 0.008   230   230   230   0   0   0   0  48 952  -1  -1.0  -1
  120.0 0.1821E+04 0.005   349   349   349   0   0   0   0  34 966  -1  -1.0  -1
  130.0 0.1389E+04 0.004   474   474   488   1   0   0   0  27 972  -1  -1.0  -1
  140.0 0.1699E+04 0.005   566   566   626   2   0   0   0  35 963  -1  -1.0  -1
  150.0 0.2382E+04 0.007   638   638   764   5   0   0   0  50 945  -1  -1.0  -1
  160.0 0.6954E+04 0.020   694   694   902  24   0   0   0 122 854  -1  -1.0  -1
  170.0 0.1799E+05 0.052   738   738  1037  91   0   0   0 208 701  -1  -1.0  -1
  180.0 0.3422E+05 0.098   772   772  1157 228   0   0   0 232 538  -1  -1.0  -1
  190.0 0.5804E+05 0.166   798   798  1234 440   0   0   0 198 359  -1  -1.0  -1
  200.0 0.9160E+05 0.262   819   819  1275 661   1   0   0 131 204  -1  -1.0  -1
  210.0 0.1347E+06 0.386   835   835  1305 817   1   0   0  75 106  -1  -1.0  -1
  220.0 0.1848E+06 0.529   847   847  1334 904   1   0   0  40  54  -1  -1.0  -1
  230.0 0.2370E+06 0.679   857   857  1363 948   1   0   0  21  29  -1  -1.0  -1
  240.0 0.2848E+06 0.816   865   865  1392 970   1   0   0  12  16  -1  -1.0  -1
  250.0 0.3217E+06 0.922   871   872  1421 982   1   0   0   7  10  -1  -1.0  -1
  260.0 0.3433E+06 0.983   875   882  1450 988   1   0   0   4   6  -1  -1.0  -1
  270.0 0.3491E+06 1.000   879   893  1479 992   0   0   0   3   4  -1  -1.0  -1
  280.0 0.3476E+06 0.996   882   903  1507 995   0   0   0   2   3  -1  -1.0  -1
  290.0 0.3436E+06 0.984   884   914  1536 996   0   0   0   1   2  -1  -1.0  -1
  300.0 0.3372E+06 0.966   886   924  1565 975  24   1   0   0   0  -1  -1.0  -1
  310.0 0.3286E+06 0.941   887   935  1594 975  24   1   0   0   0  -1  -1.0  -1
  320.0 0.3182E+06 0.911   888   946  1623 974  25   1   1   0   0  -1  -1.0  -1
  330.0 0.3062E+06 0.877   889   956  1651 973  26   1   1   0   0  -1  -1.0  -1
  340.0 0.2929E+06 0.839   890   967  1680 972  26   1   1   0   0  -1  -1.0  -1
  350.0 0.2787E+06 0.798   891   977  1707 971  27   1   1   0   0  -1  -1.0  -1
  360.0 0.2639E+06 0.756   891   986  1733 970  28   1   1   0   0  -1  -1.0  -1
  370.0 0.2487E+06 0.712   891   996  1757 969  29   2   1   0   0  -1  -1.0  -1
  380.0 0.2335E+06 0.669   892  1005  1781 968  29   2   1   0   0  -1  -1.0  -1
  390.0 0.2185E+06 0.626   892  1014  1804 966  30   2   1   0   0  -1  -1.0  -1
  400.0 0.2039E+06 0.584   892  1023  1828 965  31   2   1   0   0  -1  -1.0  -1
  410.0 0.1899E+06 0.544   892  1032  1852 964  32   3   2   0   0  -1  -1.0  -1
  420.0 0.1765E+06 0.505   892  1042  1876 962  33   3   2   0   0  -1  -1.0  -1
  430.0 0.1638E+06 0.469   892  1056  1900 961  34   4   2   0   0  -1  -1.0  -1
  440.0 0.1520E+06 0.435   892  1076  1924 959  35   4   2   0   0  -1  -1.0  -1
  450.0 0.1410E+06 0.404   892  1101  1947 957  35   5   3   0   0  -1  -1.0  -1
  460.0 0.1310E+06 0.375   892  1126  1971 955  36   6   3   0   0  -1  -1.0  -1
  470.0 0.1219E+06 0.349   892  1151  1995 953  37   7   3   0   0  -1  -1.0  -1
  480.0 0.1134E+06 0.325   893  1176  2019 950  38   8   4   0   0  -1  -1.0  -1
  490.0 0.1057E+06 0.303   893  1201  2043 947  39   9   4   0   0  -1  -1.0  -1
  500.0 0.9862E+05 0.282   893  1226  2067 945  40  11   5   0   0  -1  -1.0  -1
