,c,t,ne,Te
0,3474.0,50014,11153.654933347007,7582.9490802717955
1,3476.0,50095,12941.19662265006,9999.999999999998
2,3478.0,50164,12023.853925918565,9999.999994326367
3,3480.0,50248,11155.27408851276,8200.797984245453
4,3482.0,50328,12625.507144087253,9999.999999999998
5,3486.0,50740,13013.34770026347,9999.999999598316
6,3488.0,50809,12414.332679872401,9996.591279476625
7,3490.0,50893,13057.569931867969,9999.999999999996
8,3492.0,50962,12313.740864470952,9777.224872052853
9,3494.0,51043,12237.418940199193,9574.220067076345
10,3496.0,51113,12600.794733395922,9999.999560677925
11,3498.0,51196,11802.872256291417,8764.498979966185
12,3500.0,51266,12802.921965207403,9999.999999974043
13,3502.0,51346,13487.815949120091,9999.999999999998
14,3506.0,51503,13284.376139091466,9999.999999796337
15,3508.0,51588,13189.157925786285,9999.999999860167
16,3510.0,51658,12278.732854161923,9135.08089228865
17,3512.0,51738,12339.890786997461,9999.999999450456
18,3514.0,51808,12890.669860169413,9999.999999999996
19,3516.0,51892,12183.140103081922,9266.99507242203
20,3518.0,51961,12846.383684034166,9999.999999999996
21,3520.0,52041,13266.106117745818,9999.999999999984
22,3522.0,52110,12358.499561016984,8265.665147778931
23,3526.0,52538,12877.555684559135,9999.99999673593
24,3528.0,52619,13432.94277481361,9999.999995221153
25,3530.0,52688,12454.05417456457,9981.803643938016
26,3532.0,52769,13145.948139118336,9546.185771776947
27,3534.0,52852,12416.291945691346,9999.999999999882
28,3536.0,52922,12784.27518207939,9112.845779334528
29,3538.0,53001,12531.208782622176,9999.999999999833
30,3540.0,53072,13089.716932211331,9999.999998507099
31,3542.0,53155,13652.796991628453,9999.999999999998
32,3546.0,53312,12448.039595524044,8660.4205035071
33,3548.0,53384,11932.895418723194,7374.828194975974
34,3550.0,53464,13651.941138433633,9999.999999999987
35,3552.0,53536,13913.9718222791,9999.999999996175
36,3554.0,53617,13156.529800906777,8229.130014871604
37,3556.0,53686,13999.033555063455,9999.999999998789
38,3558.0,53767,13412.798161883848,9999.999999999998
39,3560.0,53839,13127.624607390837,9121.467857677902
40,3562.0,53920,12662.05269572246,9751.135851880628
41,3566.0,54331,12734.076996173771,9476.367023568799
42,3568.0,54411,11729.105749508393,7645.421630002475
43,3570.0,54484,12625.974805542868,9883.495280622259
44,3572.0,54564,13320.284626578152,9848.826346109572
45,3574.0,54634,12744.93639617315,8691.498815090801
46,3576.0,54715,12221.044273713604,9627.35350518605
47,3578.0,54787,12504.938011672839,9999.999999999998
